Patient_ID	GRB2	HRAS	ITCH	JUN	KRAS	LATS1	LATS2	LIMK1	LIMK2	MAP2K1	MAP2K2	MAPK1	MAPK3	MP	MYC	Metastasis	Microtubule_polimerization	NFE2L2	NR4A3	NRAS	Neuron_migration	mTORC1	mTORC2	PI3K	TSC	SOS1	SPART	SRC	STMN1	SYN1	TTL	Tubulin	WWP1	WWTR1	YAP1	YES1	ERBB2	ERBB3	ERBB4	FOXO	FUS	F_actin_dynamics	GIT1	GNA13	PAK1	PAK2	PAK3	PAK4	PDPK1	PLCG1	PPP1R12A	PPP1R12B	PRKACA	PRKCA	PRKCB	PRKCG	PRKCZ	PTEN	PTK2B	PTPN11	Proliferation	Protein_synthesis	RAC1	RAF1	RHEB	RHOA	ROCK1	ROCK2	RPS6KA1	SHC1	SIRT1	SNAI1	AKT1	AKT2	AKT3	AMOTL2	ARAF	ARHGEF1	ARHGEF11	ARHGEF12	ARHGEF6	ATF2	Actin_cytoskeleton_reorganization	Apoptosis	BAD	BCL2	BCL2L1	BRAF	CDC25B	CDC42	CDC42BPA	CDK1	CFL1	CFL2	CREB1	CTNNB1	CTTN	Cell_migration	DEPTOR	EGFR	EIF4E	EIF4EBP1	EPHA2
synth_80_Group_4	0.993526	0.0	0.7878	0.9577	0.0007	0.9988	0.042964	0.9996	0.9996	0.0009	0.983569	0.9958	0.996135	0.0017	0.0069	0.9996	0.0	0.947262	0.99904	0.009318	0.0	0.9691	0.975549	0.0	0.0049	0.0036	0.415301	0.042787	0.0001	0.156559	0.835156	0.0	0.415301	0.059679	0.033957	0.998202	0.7892	0.8812	0.0033	0.0	0.0	0.026961	0.9904	0.8252	0.0009	0.990328	0.131352	0.049285	0.998299	0.739556	0.0	0.0017	0.0	0.374718	0.998499	0.998699	0.994893	0.041411	0.069701	0.00628	0.9996	0.9981	0.9904	0.003346	0.9951	0.8252	0.9983	0.857025	0.99938	0.806082	0.974948	0.0	0.0	0.0	0.994942	0.001236	0.047405	0.598637	0.8252	0.8252	0.9904	0.9965	0.9985	0.000376	0.9983	0.0	0.023594	0.0015	0.99848	0.046729	0.065747	0.975234	0.0	0.026668	0.9995	0.9998	0.001	0.9983	0.0001	0.0	0.9982	0.0003	0.9983
GSM2262191	0.990034	0.001552	0.815701	0.983418	0.158369	0.999101	0.008274	0.999701	0.999701	0.0	0.996601	0.999201	0.999197	0.46866	0.0	0.997701	0.0	0.193054	1.000001	0.479025	0.0	1.0	1.0	0.409252	0.0	0.0009	0.8142	0.773498	0.0	0.869089	1.0	0.0	0.804071	0.0	0.0	1.0	0.445072	0.936456	0.001142	0.0	0.0	0.0	1.000001	0.879701	0.0013	1.000001	0.786391	0.790376	0.998001	0.200121	0.443099	0.461918	0.435059	0.546175	0.996523	0.999369	0.997489	0.0	0.246247	0.477076	0.997501	1.0	0.575979	0.0005	1.0	0.490483	0.557138	0.484168	1.0	0.898483	1.0	0.0	0.428204	0.417197	0.999064	0.0	0.788567	0.485621	0.8797	0.8797	0.57212	0.9987	1.0	0.0022	0.9984	0.0	0.0	0.0003	1.0	0.784864	0.928985	1.0	0.0	0.0	1.0	1.0	0.0015	0.525509	0.0	0.408724	1.0	0.0	1.0
GSM2261827	0.983699	0.003	0.5868	0.91002	0.0025	0.984753	0.0035	0.984999	0.984699	0.075241	0.968577	0.998499	0.998268	0.027066	0.0025	0.999899	0.000387	0.972935	0.999899	0.002755	0.0003	0.99193	0.9943	0.0	0.0001	0.0013	0.134199	0.0	0.0003	0.0018	0.996599	0.0004	0.134199	0.231879	0.224922	0.999899	0.7213	0.8886	0.001039	0.0	0.0	0.026345	0.9973	0.8321	0.001802	0.997299	0.0	0.0	0.973563	0.176483	0.0007	0.025594	0.0	0.497631	0.963591	0.949679	0.965541	0.000912	0.0	0.0	0.9999	0.987377	0.9973	0.000871	0.9999	0.8321	0.975244	0.8321	0.9999	0.884675	0.796529	0.0	0.0	0.0	0.966525	0.0002	0.0046	0.183933	0.832101	0.832101	0.997301	0.996901	0.999401	0.0001	0.998485	0.0	0.206562	0.0003	0.801902	0.0	0.0	0.797149	0.000346	0.026639	0.999899	0.999899	0.002	0.97131	0.0	0.0	0.988618	0.0001	0.999799
synth_84_Group_4	0.9972	0.000234	0.2392	0.9774	0.0003	0.9985	0.054649	0.9985	0.9982	0.0	0.999824	1.000001	0.999934	0.089744	0.0013	0.999601	0.0	0.784106	1.000001	0.0058	0.0	1.0	0.975	0.074397	0.0	0.0	0.701808	0.115698	0.0	0.28131	1.0	0.0	0.700385	0.0001	0.0001	1.0	0.6549	0.9186	0.0005	0.0	0.0022	0.0002	0.9985	0.9987	0.0	0.9986	0.207764	0.116438	0.9997	0.903751	0.079058	0.085084	0.083435	0.118907	0.9998	1.0	0.999068	0.0058	0.120148	0.002373	0.9998	0.9978	0.923845	0.0	0.994874	0.911132	0.92142	0.915924	0.9999	0.678991	0.9999	0.0	0.079621	0.073128	0.9985	0.004907	0.140533	0.26418	0.9987	0.9987	0.899978	1.0	1.0	0.0	1.0	0.02	0.0	0.0019	0.999901	0.113876	0.117425	0.999901	0.0003	0.0007	0.999901	0.998801	0.0	0.907044	0.0	0.072959	1.000001	0.0	0.999901
GSM2262313	0.9958	0.0065	0.3893	0.9999	0.655339	0.986339	0.000405	0.989974	0.9999	0.0001	0.996499	0.998599	0.998501	0.0037	0.027083	0.998899	0.0	0.945551	0.998199	0.028264	0.0	0.868878	0.82458	0.0003	0.124232	0.0001	0.4092	0.037116	0.0005	0.107012	0.9996	0.0003	0.4093	0.0081	0.007723	0.998535	0.75316	0.909602	0.0009	0.0003	0.0	0.009254	0.962432	0.9168	0.0001	0.96382	0.043121	0.048016	0.996898	0.864959	0.0001	0.0035	0.0003	0.815992	0.996598	0.997498	0.997098	0.097955	0.210931	0.027753	0.999001	0.999801	0.962094	0.0002	0.872794	0.916501	0.996701	0.948701	0.998801	0.831002	0.999901	0.0	0.0003	0.0113	0.997015	0.002307	0.050122	0.842695	0.9168	0.9168	0.960829	0.9989	0.9987	0.000968	0.9997	0.001	0.0	0.0	0.999482	0.045073	0.043064	0.999599	0.0002	0.009013	0.999199	0.999699	0.0	0.995899	0.0005	0.0002	0.999799	0.0002	0.998745
GSM2262138	0.9786	0.0002	0.0701	0.890923	0.0	0.721522	0.071809	0.9978	0.9978	0.035476	0.971249	0.993519	0.993147	0.0497	0.199067	0.973827	0.0005	0.840829	0.993821	0.05359	0.0004	0.996584	0.996	0.0137	0.0023	0.005101	0.640701	0.102977	0.003709	0.214174	0.9998	0.0004	0.640701	0.01507	0.0183	0.995119	0.653179	0.823205	0.008518	0.000427	0.0002	0.023399	0.647441	0.909701	0.0099	0.794288	0.134526	0.142938	0.97385	0.449021	0.020043	0.04806	0.015572	0.456581	0.974202	0.991602	0.975988	0.052369	0.297035	0.050762	0.972855	0.999801	0.582428	0.005388	0.997485	0.8955	0.95357	0.906469	0.995501	0.702477	0.999801	0.0	0.0148	0.0146	0.979301	0.001	0.119375	0.129697	0.909701	0.909701	0.601028	0.986225	0.982601	0.023886	0.894368	0.0007	0.0001	0.0024	0.997153	0.136221	0.149148	0.999407	0.0	0.0236	0.995751	0.998012	0.010185	0.948721	0.0	0.013527	0.9998	0.0002	0.990831
GSM2262152	0.830482	0.0002	0.0151	0.957964	0.280567	0.732483	0.001901	0.864516	0.9955	0.0	1.0	1.0	1.0	0.0001	0.091698	1.0	0.0	0.969673	1.0	0.0	0.0	1.0	0.814925	0.0	0.0	0.0	0.701899	0.007652	0.0	0.044338	0.999899	0.0	0.717599	0.0004	0.0004	0.786235	0.9973	0.9973	0.0007	0.0	0.0	0.0	0.9979	0.8955	0.0013	0.999399	0.029274	0.030035	0.999899	0.495176	0.0001	0.0001	0.0	0.938007	0.999999	0.999799	0.999799	0.0001	0.042635	0.0	1.0	1.0	0.99876	0.0	1.0	0.8955	0.9999	0.8955	1.0	0.9999	0.9988	0.0	0.0	0.0282	0.990975	0.003404	0.433658	0.889514	0.895499	0.895499	0.997899	0.998499	0.999899	0.0	0.996899	0.0	0.0015	0.0	1.0	0.027718	0.023942	0.9992	0.0	0.0001	1.0	0.9999	0.0016	1.0	0.0	0.0	1.0	0.0	1.0
GSM2261677	0.883171	0.0012	0.9545	0.1075	0.002512	0.84534	0.01568	0.920394	0.9757	0.001799	0.974845	0.99039	0.990596	0.0158	0.091672	0.9996	0.00553	0.907967	0.9892	0.105334	0.005876	0.990802	0.991	0.0006	0.0021	0.007067	0.1583	0.092371	0.005168	0.178099	0.992211	0.0052	0.1583	0.0631	0.012192	0.989001	0.575865	0.897388	0.00773	0.000862	0.0	0.0139	0.903	0.6827	0.0027	0.902283	0.093692	0.09998	0.9865	0.043678	0.0005	0.015001	0.000447	0.824133	0.9864	0.988507	0.986588	0.102116	0.384261	0.095419	0.999511	0.998601	0.902402	0.007957	0.997953	0.682422	0.986001	0.772184	0.995938	0.776586	0.997701	0.0	0.0005	0.0008	0.9865	0.0002	0.116262	0.542842	0.6827	0.6827	0.902703	0.991468	0.990966	0.0005	0.997136	0.0051	0.0001	0.007748	0.997424	0.09552	0.120783	0.997989	0.0006	0.013998	0.996536	0.997499	0.0031	0.984065	0.003391	0.0006	0.998698	0.001042	0.989041
synth_155_Group_3	0.88209	0.0	0.6414	0.9921	0.0	0.977049	0.039315	0.9999	0.9999	0.0	1.0	1.0	1.0	0.0	0.0226	0.9997	0.0	0.989837	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.436	0.0	0.0	0.0	1.0	0.0	0.436	0.0048	0.0049	1.0	0.9885	0.999	0.0	0.0	0.0	0.0	0.996933	0.9798	0.0	0.9783	0.0	0.0	1.000001	0.503022	0.0	0.0	0.0	0.002332	1.000001	1.000001	1.000001	0.0	0.0	0.0	0.9997	1.0	0.9971	0.0	1.0	0.9803	1.0	0.9802	1.0	0.9883	0.9948	0.0	0.0	0.0	0.999998	0.1281	0.001373	0.268226	0.979798	0.979798	0.996498	0.999998	0.999998	0.0002	0.999998	0.0	0.317602	0.080268	1.0	0.0	0.0	0.9949	0.0	0.0	1.0	0.9987	0.0	1.0	0.0	0.0	1.0	0.0	1.0
synth_112_Group_4	0.990564	0.017667	0.8531	0.903566	0.012075	0.716138	0.02269	0.9901	0.99	0.0002	0.976158	0.998601	0.998601	0.17291	0.264927	0.999801	0.0005	0.894603	0.999801	0.0007	0.000545	0.998694	0.861819	0.0	0.0013	0.0004	0.2619	0.102413	0.0004	0.213492	0.987904	0.0005	0.2613	0.029452	0.033	0.999199	0.85032	0.9269	0.0004	0.0001	0.0	0.0291	0.835044	0.8968	0.0001	0.614346	0.109443	0.109158	0.970425	0.401583	0.007009	0.166128	0.0071	0.925399	0.974216	0.970495	0.965295	0.043814	0.410175	0.0	0.999801	1.000001	0.629168	0.0001	0.981501	0.892059	0.960182	0.947077	0.999401	0.94468	0.771662	0.0	0.006404	0.0	0.967775	0.008642	0.110186	0.868407	0.897501	0.897501	0.753917	0.999001	0.993701	0.0001	0.999901	0.0	0.0011	0.0004	0.998375	0.104071	0.10442	0.997899	0.036036	0.029653	0.999199	0.998272	0.0001	0.821205	0.0	0.0	0.999999	0.0002	0.999599
synth_82_Group_3	0.93931	0.0022	0.667201	0.825625	0.0007	0.917717	0.015417	0.951904	0.993401	0.211153	0.9982	0.9995	0.9995	0.008747	0.685933	0.994645	0.0001	0.98367	1.0	0.0001	0.0001	0.9879	0.989356	0.0	0.0	0.0002	0.0006	0.0	0.0005	0.0	0.9999	0.0001	0.0006	0.0113	0.00874	0.791807	0.662783	0.8312	0.0001	0.0	0.0	0.0092	0.524759	0.9746	0.0	0.572029	0.0	0.0	0.991234	0.137755	0.0005	0.00852	0.0	0.024933	0.984077	0.990477	0.882644	0.0	0.0	0.0	0.994601	0.999001	0.559562	0.0001	0.999601	0.974601	0.991606	0.974601	0.999901	0.675879	1.000001	0.454829	0.0	0.0	0.852834	0.0	0.075989	0.00645	0.852405	0.974402	0.523735	0.999502	0.991106	0.004501	0.976222	0.025254	0.0	0.0048	0.999999	0.0	0.0	0.999999	0.0	0.009149	0.999999	0.904678	0.0	0.991326	0.0092	0.0	0.998999	0.0005	0.999999
GSM2261699	0.858901	0.004999	0.5404	0.681434	0.0185	0.9964	0.0007	0.9963	0.9971	0.0	0.725232	0.890409	0.890573	0.0001	0.0003	0.999801	0.0	0.500729	0.999801	0.135378	0.0	0.965266	0.999799	0.0	0.0001	0.104075	0.0891	0.011	0.0	0.19445	1.0	0.0	0.0876	0.0	0.0	0.9999	0.6311	0.8303	0.087887	0.0	0.0	0.0001	0.9995	0.8261	0.112748	0.999499	0.083143	0.084433	0.999899	0.773823	0.0	0.0001	0.0	0.135395	0.999899	0.999899	0.999899	0.005332	0.00842	0.004983	0.999798	0.810732	0.999498	0.110688	0.999898	0.826098	0.999898	0.838598	0.999898	0.617282	0.999898	0.0	0.0	0.0	0.999899	0.0	0.139175	0.082815	0.826099	0.826099	0.999499	0.882924	0.999899	0.0002	0.884349	0.0001	0.0	0.006	0.999901	0.079085	0.168582	0.999901	0.0	0.0001	0.999901	0.999901	0.115547	0.999901	0.0	0.0	0.816976	0.16824	0.999901
synth_29_Group_4	0.91231	0.0	0.4233	0.997	0.0	0.9957	0.082654	0.9997	0.998	0.143332	0.505333	0.991039	0.990046	0.52884	0.023015	0.955396	0.0	0.28054	0.87539	0.009763	0.0	0.749267	0.484254	0.0	0.000171	0.003419	0.003	0.003803	0.0	0.711348	0.999998	0.0	0.003	0.306822	0.530684	0.391419	0.726039	0.943052	0.003338	0.0007	0.0	0.143153	0.9955	0.954	0.055011	0.950835	0.527536	0.486879	0.474863	0.280113	0.0021	0.523438	0.0	0.299834	0.479616	0.269448	0.47179	0.052501	0.555028	0.003752	0.983098	0.999698	0.995498	0.003511	0.99664	0.953998	0.478589	0.954098	0.715339	0.841407	0.063408	0.083242	0.0	0.0	0.563788	0.001	0.013566	0.146589	0.953999	0.953999	0.995499	0.942784	0.999799	0.015821	0.945914	0.003337	0.580807	0.0001	0.717907	0.480439	0.48677	0.269662	0.0002	0.147633	0.851336	0.925524	0.055793	0.465109	0.217583	0.000736	0.999895	0.0	0.697516
